x,y1(x),y2(x),y1[x],y2[x],a_error,r_error
0.0,5.0,2.0,5.0,2.0,0.0,0.0
0.1,2680952322.1469,1072380928.8588,5.1005,2.0402,484521296.8965,0.1807
0.2,1.437501070725023e+18,5.750004282900092e+17,5.203,2.0812,4.726392209884458e+17,0.3288
0.3,7.707743667298005e+26,3.083097466919202e+26,5.3076,2.123,3.469238663614033e+26,0.4501
0.4,4.132818656671174e+35,1.6531274626684698e+35,5.4143,2.1657,2.270901878516998e+35,0.5495
0.5,2.215977954922948e+44,8.863911819691792e+43,5.5231,2.2092,1.3980635993284964e+44,0.6309
0.6,1.1881862488154497e+53,4.752744995261799e+52,5.6341,2.2537,8.288877554903676e+52,0.6976
0.7,6.370941365809658e+61,2.5483765463238634e+61,5.7474,2.2989,4.7925926496797325e+61,0.7523
0.8,3.416038009785867e+70,1.3664152039143466e+70,5.8629,2.3452,2.7226911920314596e+70,0.797
0.9,1.8316470069755188e+79,7.326588027902074e+78,5.9807,2.3923,1.5270693146206246e+79,0.8337
1.0,9.82111659340898e+87,3.928446637363592e+87,6.101,2.4404,8.483148807234004e+87,0.8638
